one,two,three,four,five
1855,达成,dá chéng,"1. to reach (an agreement)
2. to accomplish
",22
1856,迅速,xùn sù,"1. rapid
2. speedy
3. fast
",44
1857,过分,guò fèn,"1. excessive
2. undue
3. overly
",44
1858,过敏,guò mǐn,"1. to be allergic
2. allergy
",43
1859,过期,guò qī,"1. to be overdue
2. to exceed the time limit
3. to expire (as in expiration date)
",41
1860,迎接,yíng jiē,"1. to meet
2. to welcome
3. to greet
",21
1861,运气,yùn qi,"1. luck (good or bad)
",40
1862,运用,yùn yòng,"1. to use
2. to put to use
",44
1863,运输,yùn shū,"1. transport
2. haulage
3. transit
4. CL:個|个[ge4]
",41
1864,近代,jìn dài,"1. the not-very-distant past
2. modern times, excluding recent decades
3. (in the context of Chinese history) the period from the Opium Wars until the May 4th Movement (mid-19th century to 1919)
4. capitalist times (pre-1949)
",44
1865,进口,jìn kǒu,"1. to import
2. imported
3. entrance
4. inlet (for the intake of air, water etc)
",43
1866,进步,jìn bù,"1. progress
2. improvement
3. to improve
4. to progress
5. CL:個|个[ge4]
",44
1867,违反,wéi fǎn,"1. to violate (a law)
",23
1868,连忙,lián máng,"1. promptly
2. at once
",22
1869,连续,lián xù,"1. continuous
2. in a row
3. serial
4. consecutive
",24
1870,迟早,chí zǎo,"1. sooner or later
",23
1871,迟疑,chí yí,"1. to hesitate
",22
1872,迟缓,chí huǎn,"1. slow
2. sluggish
",23
1873,迟钝,chí dùn,"1. slow in one's reactions
2. sluggish (in movement or thought)
",24
1874,迫切,pò qiè,"1. urgent
2. pressing
",44
1875,迸发,bèng fā,"1. to burst forth
",41
1876,追,zhuī,"1. to sculpt
2. to carve
3. musical instrument (old)
4. to chase after
5. to seek
6. to do one's utmost to seek or procure sth
7. to recall
",1
1877,追求,zhuī qiú,"1. to pursue (a goal etc) stubbornly
2. to seek after
3. to woo
",12
1878,退,tuì,"1. to retreat
2. to decline
3. to move back
4. to withdraw
",4
1879,退休,tuì xiū,"1. to retire
2. retirement (from work)
",41
1880,退步,tuì bù,"1. to do less well than before
2. to make a concession
3. setback
4. backward step
5. leeway
6. room to maneuver
7. fallback
",44
1881,适合,shì hé,"1. to fit
2. to suit
",42
1882,适应,shì yìng,"1. to adapt
2. to fit
3. to suit
",44
1883,逃,táo,"1. to escape
2. to run away
3. to flee
",2
1884,逃避,táo bì,"1. to escape
2. to evade
3. to avoid
4. to shirk
",24
1885,透明,tòu míng,"1. transparent
2. open (non-secretive)
",42
1886,逐步,zhú bù,"1. progressively
2. step by step
",24
1887,逐渐,zhú jiàn,"1. gradually
",24
1888,递,dì,"1. to hand over
2. to pass on sth
3. to gradually increase or decrease
4. progressively
",4
1889,递增,dì zēng,"1. to increase by degrees
2. in increasing order
3. incremental
4. progressive
",41
1890,逗,dòu,"1. to stay
2. to stop
3. to tease (play with)
4. amusing
5. short pause in reading aloud, equivalent to comma (also written 讀|读[dou4])
",4
1891,通常,tōng cháng,"1. regular
2. usual
3. normal
4. usually
5. normally
",12
1892,通知,tōng zhī,"1. to notify
2. to inform
3. notice
4. notification
5. CL:個|个[ge4]
",11
1893,通过,tōng guò,"1. by means of
2. through
3. via
4. to pass through
5. to get through
6. to adopt
7. to pass (a bill or inspection etc)
8. to switch over
",14
1894,速度,sù dù,"1. speed
2. rate
3. velocity
4. (music) tempo
5. CL:個|个[ge4]
",44
1895,造成,zào chéng,"1. to bring about
2. to create
3. to cause
",42
1896,逮捕,dài bǔ,"1. to arrest
2. to apprehend
3. an arrest
",43
1897,逻辑,luó ji,"1. logic (loanword)
",20
1898,逼迫,bī pò,"1. to force
2. to compel
3. to coerce
",14
1899,遍布,biàn bù,"1. to cover the whole (area)
2. to be found throughout
",44
1900,遏制,è zhì,"1. to check
2. to contain
3. to hold back
4. to keep within limits
5. to constrain
6. to restrain
",44
1901,道德,dào dé,"1. virtue
2. morality
3. ethics
4. CL:種|种[zhong3]
",42
1902,道理,dào li,"1. reason
2. argument
3. sense
4. principle
5. basis
6. justification
7. CL:個|个[ge4]
",40
1903,遗憾,yí hàn,"1. regret
2. to regret
3. to be sorry that
",24
1904,遵守,zūn shǒu,"1. to comply with
2. to abide by
3. to respect (an agreement)
",13
1905,避免,bì miǎn,"1. to avert
2. to prevent
3. to avoid
4. to refrain from
",43
1906,邀请,yāo qǐng,"1. to invite
2. invitation
3. CL:個|个[ge4]
",13
1907,邮局,yóu jú,"1. post office
2. CL:家[jia1],個|个[ge4]
",22
1908,部门,bù mén,"1. department
2. branch
3. section
4. division
5. CL:個|个[ge4]
",42
1909,都,dōu,"1. surname Du
2. all
3. both
4. entirely
5. (used for emphasis) even
6. already
7. (not) at all
8. capital city
9. metropolis
",1
1910,鄙视,bǐ shì,"1. to despise
2. to disdain
3. to look down upon
",34
1911,配合,pèi hé,"1. matching
2. fitting in with
3. compatible with
4. to correspond
5. to fit
6. to conform to
7. rapport
8. to coordinate with
9. to act in concert with
10. to cooperate
11. to become man and wife
12. to combine parts of machine
",42
1912,酒吧,jiǔ bā,"1. bar
2. pub
3. saloon
4. CL:家[jia1]
",31
1913,酱油,jiàng yóu,"1. soy sauce
",42
1914,酸,suān,"1. sour
2. tart
3. sick at heart
4. grieved
5. sore
6. aching
7. pedantic
8. impractical
9. an acid
",1
1915,醉,zuì,"1. intoxicated
",4
1916,醋,cù,"1. vinegar
2. jealousy (in love rivalry)
",4
1917,醒,xǐng,"1. to wake up
2. to be awake
3. to become aware
4. to sober up
5. to come to
",3
1918,采取,cǎi qǔ,"1. to adopt or carry out (measures, policies, course of action)
2. to take
",33
1919,采纳,cǎi nà,"1. to accept
2. to adopt
",34
1920,采访,cǎi fǎng,"1. to interview
2. to gather news
3. to hunt for and collect
4. to cover
",33
1921,采购,cǎi gòu,"1. to procure (for an enterprise etc)
2. to purchase
",34
1922,采集,cǎi jí,"1. to gather
2. to collect
3. to harvest
",32
1923,重,zhòng,"1. to repeat
2. repetition
3. again
4. re-
5. classifier: layer
6. heavy
7. serious
8. to attach importance to
",4
1924,重叠,chóng dié,"1. to overlap
2. to superimpose
3. to telescope
4. to run together
5. to duplicate
6. one over another
7. superposition
8. an overlap
9. redundancy
10. reduplication (in Chinese grammar, e.g. 散散步[san4 san4 bu4] to have a stroll)
",22
1925,重复,chóng fù,"1. to repeat
2. to duplicate
3. CL:個|个[ge4]
4. variant of 重複|重复[chong2 fu4]
",24
1926,重大,zhòng dà,"1. great
2. important
3. major
4. significant
",44
1927,重点,zhòng diǎn,"1. to recount (e.g. results of election)
2. to re-evaluate
3. important point
4. main point
5. focus
6. key (project etc)
7. to focus on
8. to put the emphasis on
",43
1928,重视,zhòng shì,"1. to attach importance to sth
2. to value
",44
1929,重量,zhòng liàng,"1. weight
2. CL:個|个[ge4]
",44
1930,金属,jīn shǔ,"1. metal
2. CL:種|种[zhong3]
",13
1931,针对,zhēn duì,"1. to be directed against
2. to be aimed at
3. to counter
4. in the light of
5. in connection with
",14
1932,钓,diào,"1. to fish with a hook and bait
",4
1933,钞票,chāo piào,"1. paper money
2. a bill (e.g. 100 yuan)
3. CL:張|张[zhang1],紮|扎[za1]
",14
1934,钢铁,gāng tiě,"1. steel
",13
1935,钥匙,yào shi,"1. key
2. CL:把[ba3]
",40
1936,铃,líng,"1. (small) bell
2. CL:隻|只[zhi1]
",2
1937,银,yín,"1. silver
2. silver-colored
3. relating to money or currency
",2
1938,销售,xiāo shòu,"1. to sell
2. to market
3. sales (representative, agreement etc)
",14
1939,锁,suǒ,"1. to lock up
2. to lock
3. lock
4. CL:把[ba3]
5. old variant of 鎖|锁[suo3]
",3
1940,锅,guō,"1. pot
2. pan
3. boiler
4. CL:口[kou3],隻|只[zhi1]
",1
1941,锤,chuí,"1. hammer
2. to hammer into shape
3. weight (e.g. of a steelyard or balance)
4. variant of 錘|锤[chui2]
",2
1942,键盘,jiàn pán,"1. keyboard
",42
1943,长辈,zhǎng bèi,"1. one's elders
2. older generation
",34
1944,长途,cháng tú,"1. long distance
",22
1945,闪电,shǎn diàn,"1. lightning
2. CL:道[dao4]
",34
1946,闭塞,bì sè,"1. to stop up
2. to close up
3. hard to get to
4. out of the way
5. inaccessible
6. unenlightened
7. blocking
",44
1947,问候,wèn hòu,"1. to give one's respects
2. to send a greeting
",44
1948,闯,chuǎng,"1. to rush
2. to charge
3. to dash
4. to break through
5. to temper oneself (through battling hardships)
",3
1949,闻,wén,"1. surname Wen
2. to hear
3. news
4. well-known
5. famous
6. reputation
7. fame
8. to smell
9. to sniff at
",2
1950,阅读,yuè dú,"1. to read
2. reading
",42
1951,阐述,chǎn shù,"1. to expound (a position)
2. to elaborate (on a topic)
3. to treat (a subject)
",34
1952,队伍,duì wǔ,"1. ranks
2. troops
3. queue
4. line
5. procession
6. CL:個|个[ge4],支[zhi1],條|条[tiao2]
",43
1953,阳光,yáng guāng,"1. sunshine
2. CL:線|线[xian4]
3. transparent (open to public scrutiny)
",21
1954,阳台,yáng tái,"1. variant of 陽臺|阳台[yang2 tai2]
2. balcony
3. porch
",22
1955,阵,zhèn,"1. disposition of troops
2. wave
3. spate
4. burst
5. spell
6. short period of time
7. classifier for events or states of short duration
",4
1956,阶段,jiē duàn,"1. stage
2. section
3. phase
4. period
5. CL:個|个[ge4]
",14
1957,阻止,zǔ zhǐ,"1. to prevent
2. to block
",33
1958,陆地,lù dì,"1. dry land (as opposed to the sea)
",44
1959,陆续,lù xù,"1. in turn
2. successively
3. one after the other
4. bit by bit
",44
1960,陈列,chén liè,"1. to display
2. to exhibit
",24
1961,陈旧,chén jiù,"1. old-fashioned
",24
1962,陈述,chén shù,"1. an assertion
2. to declare
3. to state
",24
1963,陌生,mò shēng,"1. strange
2. unfamiliar
",41
1964,限制,xiàn zhì,"1. to restrict
2. to limit
3. to confine
4. restriction
5. limit
6. CL:個|个[ge4]
",44
1965,陡峭,dǒu qiào,"1. precipitous
",34
1966,除,chú,"1. to get rid of
2. to remove
3. to exclude
4. to eliminate
5. to wipe out
6. to divide
7. except
8. not including
",2
1967,除夕,Chú xī,"1. lunar New Year's Eve
",21
1968,除非,chú fēi,"1. only if (..., or otherwise, ...)
2. only when
3. only in the case that
4. unless
",21
1969,随便,suí biàn,"1. as one wishes
2. as one pleases
3. at random
4. negligent
5. casual
6. wanton
",24
1970,随手,suí shǒu,"1. conveniently
2. without extra trouble
3. while doing it
4. in passing
",23
1971,随时,suí shí,"1. at any time
2. at all times
3. at the right time
",22
1972,随着,suí zhe,"1. along with
2. in the wake of
3. following
",20
1973,随身,suí shēn,"1. to (carry) on one's person
2. to (take) with one
",21
1974,隔壁,gé bì,"1. next door
2. neighbor
",24
1975,难免,nán miǎn,"1. hard to avoid
2. difficult to escape from
3. will inevitably
",23
1976,难怪,nán guài,"1. (it's) no wonder (that...)
2. (it's) not surprising (that)
",24
1977,集中,jí zhōng,"1. to concentrate
2. to centralize
3. to focus
4. centralized
5. concentrated
6. to put together
",21
1978,集体,jí tǐ,"1. collective
2. social
3. team
4. CL:個|个[ge4]
",23
1979,集合,jí hé,"1. to gather
2. to assemble
3. set (mathematics)
",22
1980,雌雄,cí xióng,"1. male and female
",22
1981,雕刻,diāo kè,"1. to carve
2. to engrave
3. carving
",14
1982,雕塑,diāo sù,"1. a statue
2. a Buddhist image
3. sculpture
4. to carve
",14
1983,零件,líng jiàn,"1. part
2. component
",24
1984,零食,líng shí,"1. between-meal nibbles
2. snacks
",22
1985,雷,léi,"1. surname Lei
2. thunder
3. mine (weapon)
4. (Internet slang) terrifying
5. terrific
",2
1986,雾,wù,"1. fog
2. mist
3. CL:場|场[chang2],陣|阵[zhen4]
",4
1987,霸道,bà dào,"1. the Way of the Hegemon
2. abbr. for 霸王之道
3. despotic rule
4. rule by might
5. evil as opposed to the Way of the King 王道
6. overbearing
7. tyranny
8. (of liquor, medicine etc) strong
9. potent
",44
1988,青,qīng,"1. abbr. for 青海[Qing1 hai3], Qinghai Province
2. nature's color
3. green or blue
4. greenish black
5. youth
6. young (of people)
",1
1989,青春,qīng chūn,"1. youth
2. youthfulness
",11
1990,非,fēi,"1. abbr. for 非洲[Fei1 zhou1], Africa
2. to not be
3. not
4. wrong
5. incorrect
6. non-
7. un-
8. in-
9. to reproach or blame
10. (colloquial) to insist on
11. simply must
",1
1991,靠,kào,"1. to lean against or on
2. to stand by the side of
3. to come near to
4. to depend on
5. to trust
6. to fuck (vulgar)
7. traditional military costume drama where the performers wear armor (old)
",4
1992,面临,miàn lín,"1. to face sth
2. to be confronted with
",42
1993,面对,miàn duì,"1. to confront
2. to face
",44
1994,面积,miàn jī,"1. area (of a floor, piece of land etc)
2. surface area
3. tract of land
",41
1995,鞭炮,biān pào,"1. firecrackers
2. string of small firecrackers
3. CL:枚[mei2]
",14
1996,鞭策,biān cè,"1. to spur on
2. to urge on
3. to encourage sb (e.g. to make progress)
",14
1997,页,yè,"1. page
2. leaf
",4
1998,顶,dǐng,"1. apex
2. crown of the head
3. top
4. roof
5. most
6. to carry on the head
7. to push to the top
8. to go against
9. to replace
10. to substitute
11. to be subjected to (an aerial bombing, hailstorm etc)
12. (slang) to ""bump"" a forum thread to raise its profile
13. classifier for headwear, hats, veils etc
",3
1999,项,xiàng,"1. surname Xiang
2. back of neck
3. item
4. thing
5. term (in a mathematical formula)
6. sum (of money)
7. classifier for principles, items, clauses, tasks, research projects etc
",4
2000,项目,xiàng mù,"1. item
2. project
3. (sports) event
4. CL:個|个[ge4]
",44
2001,项链,xiàng liàn,"1. necklace
2. CL:條|条[tiao2]
",44
2002,顺便,shùn biàn,"1. conveniently
2. in passing
3. without much extra effort
",44
2003,顺利,shùn lì,"1. smoothly
2. without a hitch
",44
2004,顺序,shùn xù,"1. sequence
2. order
",44
2005,顿,dùn,"1. to stop
2. to pause
3. to arrange
4. to lay out
5. to kowtow
6. to stamp (one's foot)
7. at once
8. classifier for meals, beatings, scoldings etc: time, bout, spell, meal
",4
2006,顿时,dùn shí,"1. immediately
2. suddenly
",42
2007,颁布,bān bù,"1. to issue
2. to proclaim
3. to enact (laws, decrees etc)
",14
2008,预习,yù xí,"1. to prepare a lesson
",42
2009,预报,yù bào,"1. forecast
",44
2010,预订,yù dìng,"1. to place an order
2. to book ahead
",44
2011,预防,yù fáng,"1. to prevent
2. to take precautions against
3. to protect
4. to guard against
5. precautionary
6. prophylactic
",42
2012,领域,lǐng yù,"1. domain
2. sphere
3. field
4. territory
5. area
",34
2013,领导,lǐng dǎo,"1. lead
2. leading
3. to lead
4. leadership
5. leader
6. CL:位[wei4],個|个[ge4]
",33
2014,频道,pín dào,"1. frequency
2. (television) channel
",24
2015,颗,kē,"1. classifier for small spheres, pearls, corn grains, teeth, hearts, satellites etc
",1
2016,题目,tí mù,"1. subject
2. title
3. topic
4. CL:個|个[ge4]
",24
2017,额外,é wài,"1. extra
2. added
3. additional
",24
2018,颠倒,diān dǎo,"1. to turn upside down
2. to reverse
3. back to front
4. confused
5. deranged
6. crazy
",13
2019,颠簸,diān bǒ,"1. to shake
2. to jolt
3. to bump
",13
2021,风俗,fēng sú,"1. social custom
2. CL:個|个[ge4]
",12
2022,风景,fēng jǐng,"1. scenery
2. landscape
3. CL:個|个[ge4]
",13
2023,风格,fēng gé,"1. style
",12
2024,风险,fēng xiǎn,"1. risk
2. hazard
",13
2025,飘,piāo,"1. variant of 飄|飘[piao1]
2. to float
",1
2026,飞机,fēi jī,"1. airplane
2. CL:架[jia4]
",11
2027,食物,shí wù,"1. food
2. CL:種|种[zhong3]
",24
2028,饭店,fàn diàn,"1. restaurant
2. hotel
3. CL:家[jia1],個|个[ge4]
",44
2029,饱和,bǎo hé,"1. saturation
",32
2030,馋,chán,"1. gluttonous
2. greedy
3. to have a craving
",2
2031,馒头,mán tou,"1. steamed roll
2. steamed bun
3. steamed bread
4. CL:個|个[ge4]
",20
2032,首,shǒu,"1. head
2. chief
3. first (occasion, thing etc)
4. classifier for poems, songs etc
",3
2033,首先,shǒu xiān,"1. first (of all)
2. in the first place
",31
2034,首都,shǒu dū,"1. capital (city)
2. CL:個|个[ge4]
",31
2035,香,xiāng,"1. fragrant
2. sweet smelling
3. aromatic
4. savory or appetizing
5. (to eat) with relish
6. (of sleep) sound
7. perfume or spice
8. joss or incense stick
9. CL:根[gen1]
",1
2036,香肠,xiāng cháng,"1. sausage
2. CL:根[gen1]
",12
2037,驾驶,jià shǐ,"1. to pilot (ship, airplane etc)
2. to drive
",43
2038,骂,mà,"1. to scold
2. to abuse
3. to curse
4. CL:通[tong4],頓|顿[dun4]
5. variant of 罵|骂[ma4]
",4
2039,骗,piàn,"1. to cheat
2. to swindle
3. to deceive
4. to get on (a horse etc) by swinging one leg over
",4
2040,骨头,gǔ tou,"1. bone
2. CL:根[gen1],塊|块[kuai4]
3. moral character
4. bitterness
",30
2041,高兴,gāo xìng,"1. happy
2. glad
3. willing (to do sth)
4. in a cheerful mood
",14
